distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
general_community,General HIV+ community,31.84,0.6298,0.6262,0.4684,0.7935,0.5831,0.6798,0.3251,0.044,0.0,0.0
general_community,General HIV+ community,34.29,0.5941,0.5932,0.422,0.7486,0.5553,0.6397,0.3266,0.0816,0.0066,0.0
general_community,General HIV+ community,36.73,0.5616,0.5659,0.3674,0.7036,0.5307,0.6053,0.3362,0.1392,0.0134,0.0
general_community,General HIV+ community,39.18,0.5317,0.5432,0.3054,0.6613,0.507,0.5769,0.3559,0.224,0.024,0.0
general_community,General HIV+ community,41.63,0.5034,0.5235,0.2405,0.624,0.4816,0.554,0.3835,0.3314,0.0432,0.005
general_community,General HIV+ community,44.08,0.4755,0.5048,0.179,0.5928,0.4513,0.5355,0.4138,0.4644,0.0712,0.0102
general_community,General HIV+ community,46.53,0.4466,0.4845,0.1265,0.5678,0.413,0.5199,0.4413,0.5954,0.1124,0.0172
general_community,General HIV+ community,48.98,0.4159,0.4599,0.0857,0.5483,0.3649,0.5054,0.4626,0.7106,0.1676,0.0312
general_community,General HIV+ community,51.43,0.3826,0.4279,0.0562,0.5333,0.3077,0.49,0.4771,0.8106,0.2392,0.0534
general_community,General HIV+ community,53.88,0.3467,0.3862,0.0361,0.5216,0.2455,0.4713,0.4856,0.8862,0.3296,0.0874
general_community,General HIV+ community,56.33,0.3087,0.3343,0.0228,0.512,0.1848,0.4466,0.4892,0.9334,0.4386,0.134
general_community,General HIV+ community,58.78,0.2693,0.2746,0.0143,0.5032,0.1318,0.4132,0.4889,0.9678,0.5438,0.1942
general_community,General HIV+ community,61.22,0.23,0.2128,0.0089,0.4939,0.0898,0.3693,0.485,1.0,0.641,0.2726
general_community,General HIV+ community,63.67,0.1919,0.1557,0.0055,0.4824,0.0591,0.3152,0.4769,1.0,0.7272,0.3738
general_community,General HIV+ community,66.12,0.1563,0.1084,0.0034,0.4668,0.038,0.2547,0.4633,1.0,0.8066,0.4768
general_community,General HIV+ community,68.57,0.1242,0.0725,0.0021,0.4446,0.024,0.194,0.4425,1.0,0.8702,0.5798
general_community,General HIV+ community,71.02,0.0961,0.047,0.0013,0.4134,0.015,0.1397,0.4121,1.0,0.9142,0.6764
general_community,General HIV+ community,73.47,0.0724,0.0299,0.0008,0.3713,0.0093,0.0959,0.3705,1.0,0.9466,0.7582
general_community,General HIV+ community,75.92,0.053,0.0188,0.0005,0.3187,0.0058,0.0635,0.3182,1.0,0.9702,0.83
general_community,General HIV+ community,78.37,0.0377,0.0117,0.0003,0.2589,0.0036,0.0409,0.2586,1.0,1.0,0.8882
general_community,General HIV+ community,80.82,0.026,0.0072,0.0002,0.1982,0.0022,0.0259,0.198,1.0,1.0,0.927
general_community,General HIV+ community,83.27,0.0174,0.0045,0.0001,0.1434,0.0014,0.0162,0.1433,1.0,1.0,0.9566
general_community,General HIV+ community,85.71,0.0114,0.0028,0.0001,0.0988,0.0008,0.0101,0.0988,1.0,1.0,0.9754
general_community,General HIV+ community,88.16,0.0073,0.0017,0.0,0.0656,0.0005,0.0062,0.0655,1.0,1.0,1.0
general_community,General HIV+ community,90.61,0.0046,0.001,0.0,0.0423,0.0003,0.0038,0.0423,1.0,1.0,1.0
general_community,General HIV+ community,93.06,0.0029,0.0006,0.0,0.0268,0.0002,0.0024,0.0268,1.0,1.0,1.0
general_community,General HIV+ community,95.51,0.0018,0.0004,0.0,0.0168,0.0001,0.0015,0.0168,1.0,1.0,1.0
general_community,General HIV+ community,97.96,0.0011,0.0002,0.0,0.0104,0.0001,0.0009,0.0104,1.0,1.0,1.0
general_community,General HIV+ community,100.41,0.0007,0.0001,0.0,0.0064,0.0,0.0005,0.0064,1.0,1.0,1.0
general_community,General HIV+ community,102.86,0.0004,0.0001,0.0,0.004,0.0,0.0003,0.004,1.0,1.0,1.0
general_community,General HIV+ community,105.31,0.0003,0.0001,0.0,0.0024,0.0,0.0002,0.0024,1.0,1.0,1.0
general_community,General HIV+ community,107.76,0.0002,0.0,0.0,0.0015,0.0,0.0001,0.0015,1.0,1.0,1.0
general_community,General HIV+ community,110.2,0.0001,0.0,0.0,0.0009,0.0,0.0001,0.0009,1.0,1.0,1.0
general_community,General HIV+ community,112.65,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0006,1.0,1.0,1.0
general_community,General HIV+ community,115.1,0.0,0.0,0.0,0.0003,0.0,0.0,0.0003,1.0,1.0,1.0
general_community,General HIV+ community,117.55,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,1.0,1.0,1.0
general_community,General HIV+ community,120.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,1.0,1.0,1.0
acute_infection_enriched,Acute-infection-enriched network,0.0,0.9689,0.9716,0.9328,0.9867,0.9626,0.9786,0.0539,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,2.45,0.9583,0.9618,0.9098,0.9831,0.9495,0.9717,0.0734,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,4.9,0.9441,0.9485,0.8805,0.978,0.9318,0.962,0.0976,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,7.35,0.9253,0.9305,0.8446,0.9709,0.9086,0.9487,0.1263,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,9.8,0.9012,0.9069,0.8028,0.9609,0.8791,0.9308,0.1581,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,12.24,0.8715,0.8771,0.7567,0.9472,0.8432,0.9073,0.1905,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,14.69,0.8362,0.8409,0.7088,0.9289,0.8018,0.8776,0.2201,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,17.14,0.7963,0.7993,0.6612,0.9049,0.7566,0.8415,0.2436,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,19.59,0.7533,0.7542,0.6156,0.8746,0.7103,0.8001,0.259,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,22.04,0.7092,0.7083,0.572,0.838,0.6655,0.7552,0.266,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,24.49,0.666,0.6644,0.5289,0.7963,0.6243,0.7096,0.2674,0.0,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,26.94,0.6251,0.6245,0.4835,0.7513,0.5873,0.666,0.2678,0.0356,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,29.39,0.5872,0.5895,0.4329,0.7061,0.554,0.6268,0.2732,0.0828,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,31.84,0.5518,0.559,0.3751,0.6633,0.5224,0.5929,0.2883,0.1656,0.0,0.0
acute_infection_enriched,Acute-infection-enriched network,34.29,0.5179,0.5315,0.3108,0.6253,0.4897,0.5643,0.3146,0.2946,0.0218,0.0
acute_infection_enriched,Acute-infection-enriched network,36.73,0.4841,0.5046,0.2441,0.5931,0.4526,0.5396,0.349,0.4696,0.047,0.0
acute_infection_enriched,Acute-infection-enriched network,39.18,0.4487,0.4752,0.1815,0.5668,0.4081,0.5171,0.3853,0.6404,0.093,0.0
acute_infection_enriched,Acute-infection-enriched network,41.63,0.4106,0.44,0.1282,0.5454,0.3545,0.4941,0.4172,0.7824,0.1628,0.0154
acute_infection_enriched,Acute-infection-enriched network,44.08,0.3691,0.3964,0.0868,0.5277,0.2934,0.4679,0.4408,0.8882,0.261,0.0336
acute_infection_enriched,Acute-infection-enriched network,46.53,0.3247,0.3432,0.057,0.5118,0.2297,0.4352,0.4548,0.9482,0.3996,0.0646
acute_infection_enriched,Acute-infection-enriched network,48.98,0.2783,0.2825,0.0366,0.4959,0.1699,0.3934,0.4592,0.9796,0.5408,0.1198
acute_infection_enriched,Acute-infection-enriched network,51.43,0.2319,0.2197,0.0232,0.4774,0.1193,0.3416,0.4542,0.9936,0.67,0.2018
acute_infection_enriched,Acute-infection-enriched network,53.88,0.1874,0.1614,0.0146,0.4538,0.0804,0.2819,0.4392,0.9986,0.7808,0.3148
