city,state,late_dx_pct,retention,delta_t_struct_h,delta_t_pharmacy_h,delta_t_total_h,E_PEP_R3,past_t_crit
Tampa,Florida,20.0,0.763,5.7,12,17.7,0.9676816439939222,False
Orlando,Florida,20.7,0.79,5.4,0,5.4,0.977338436485784,False
Orlando,Florida,20.7,0.79,5.4,2,7.4,0.9759081357461048,False
Orlando,Florida,20.7,0.79,5.4,4,9.4,0.974320884310106,False
Orlando,Florida,20.7,0.79,5.4,6,11.4,0.9730398722805015,False
Orlando,Florida,20.7,0.79,5.4,8,13.4,0.971753303397229,False
Orlando,Florida,20.7,0.79,5.4,10,15.4,0.9701219801182961,False
Orlando,Florida,20.7,0.79,5.4,12,17.4,0.9680425847821001,False
LosAngeles,California,19.0,0.799,4.8,0,4.8,0.9777332532651811,False
LosAngeles,California,19.0,0.799,4.8,2,6.8,0.9763553499592075,False
LosAngeles,California,19.0,0.799,4.8,4,8.8,0.9748069360309867,False
LosAngeles,California,19.0,0.799,4.8,6,10.8,0.9733691400967416,False
LosAngeles,California,19.0,0.799,4.8,8,12.8,0.9721709551153537,False
LosAngeles,California,19.0,0.799,4.8,10,14.8,0.9706518862923667,False
LosAngeles,California,19.0,0.799,4.8,12,16.8,0.9687200658510108,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,0,4.7,0.9777976666856021,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,2,6.7,0.976428411053574,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,4,8.7,0.9748877013932437,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,6,10.7,0.9734218401485722,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,8,12.7,0.9722378462672695,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,10,14.7,0.970736703064329,False
Charlotte,"North
Carolina",20.0,0.7929999999999999,4.7,12,16.7,0.9688283017508442,False
StLouis,Missouri,20.4,0.836,3.7,0,3.7,0.9784198282139902,False
StLouis,Missouri,20.4,0.836,3.7,2,5.7,0.9771346529689842,False
StLouis,Missouri,20.4,0.836,3.7,4,7.7,0.9756780551871467,False
StLouis,Missouri,20.4,0.836,3.7,6,9.7,0.9740824555219658,False
StLouis,Missouri,20.4,0.836,3.7,8,11.7,0.9728650854031045,False
StLouis,Missouri,20.4,0.836,3.7,10,13.7,0.9715317432132469,False
StLouis,Missouri,20.4,0.836,3.7,12,15.7,0.9698405246928598,False
ElPaso,Texas,17.7,0.823,4.0,0,4.0,0.9782384776929293,False
ElPaso,Texas,17.7,0.823,4.0,2,6.0,0.9769287239207426,False
ElPaso,Texas,17.7,0.823,4.0,4,8.0,0.9754458438578482,False
ElPaso,Texas,17.7,0.823,4.0,6,10.0,0.973846507713393,False
ElPaso,Texas,17.7,0.823,4.0,8,12.0,0.972686855479226,False
ElPaso,Texas,17.7,0.823,4.0,10,14.0,0.9713058539676335,False
ElPaso,Texas,17.7,0.823,4.0,12,16.0,0.96955344379101,False
Denver,Colorado,20.8,0.853,3.4,0,3.4,0.9785993022753952,False
Denver,Colorado,20.8,0.853,3.4,2,5.4,0.977338436485784,False
Denver,Colorado,20.8,0.853,3.4,4,7.4,0.9759081357461048,False
Denver,Colorado,20.8,0.853,3.4,6,9.4,0.974320884310106,False
Denver,Colorado,20.8,0.853,3.4,8,11.4,0.9730398722805015,False
Denver,Colorado,20.8,0.853,3.4,10,13.4,0.971753303397229,False
Denver,Colorado,20.8,0.853,3.4,12,15.4,0.9701219801182961,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,0,5.0,0.9776044264243393,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,2,7.0,0.9762092277704744,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,4,9.0,0.9746454053064727,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,6,11.0,0.9732637399930802,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,8,13.0,0.9720371728115219,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,10,15.0,0.9704822527484421,False
BatonRouge,Louisiana,15.9,0.7879999999999999,5.0,12,17.0,0.9685035940513438,False
Austin,Texas,20.6,0.8640000000000001,3.0,0,3.0,0.9788335971315194,False
Austin,Texas,20.6,0.8640000000000001,3.0,2,5.0,0.9776044264243393,False
Austin,Texas,20.6,0.8640000000000001,3.0,4,7.0,0.9762092277704744,False
Austin,Texas,20.6,0.8640000000000001,3.0,6,9.0,0.9746454053064727,False
Austin,Texas,20.6,0.8640000000000001,3.0,8,11.0,0.9732637399930802,False
Austin,Texas,20.6,0.8640000000000001,3.0,10,13.0,0.9720371728115219,False
Austin,Texas,20.6,0.8640000000000001,3.0,12,15.0,0.9704822527484421,False
Milwaukee,Wisconsin,14.6,0.885,1.9,0,1.9,0.9794459122508474,False
Milwaukee,Wisconsin,14.6,0.885,1.9,2,3.9,0.9782989278666162,False
Milwaukee,Wisconsin,14.6,0.885,1.9,4,5.9,0.9769973669368232,False
Milwaukee,Wisconsin,14.6,0.885,1.9,6,7.9,0.975523247634281,False
Milwaukee,Wisconsin,14.6,0.885,1.9,8,9.9,0.9739251569829173,False
Milwaukee,Wisconsin,14.6,0.885,1.9,10,11.9,0.9727462654538521,False
Milwaukee,Wisconsin,14.6,0.885,1.9,12,13.9,0.9713811503828379,False
