realization_idx,V0,log10_V0,outcome,extincted,integrated,T_int_hours,handoff_time_hours
120,3,0.47712125471966244,integrated,False,True,55.55260630692206,44.61599999999775
121,3,0.47712125471966244,integrated,False,True,54.46414139407647,43.991999999997816
122,3,0.47712125471966244,extinct,True,False,,
123,3,0.47712125471966244,integrated,False,True,56.25345881346682,44.903999999997716
124,3,0.47712125471966244,integrated,False,True,55.725389242847825,44.063999999997804
125,3,0.47712125471966244,integrated,False,True,54.937093304337196,44.39999999999777
126,3,0.47712125471966244,integrated,False,True,54.13896648367361,43.72799999999784
127,3,0.47712125471966244,integrated,False,True,55.93547718901442,44.39999999999777
128,3,0.47712125471966244,integrated,False,True,55.09221446668091,44.1119999999978
129,3,0.47712125471966244,integrated,False,True,54.61803235702751,43.84799999999783
130,3,0.47712125471966244,integrated,False,True,55.22061331570454,44.25599999999778
131,3,0.47712125471966244,integrated,False,True,54.70273567261531,43.82399999999783
132,3,0.47712125471966244,integrated,False,True,56.63282610140539,44.975999999997704
133,3,0.47712125471966244,integrated,False,True,54.77938729387304,44.279999999997784
134,3,0.47712125471966244,integrated,False,True,54.54341133575588,43.75199999999784
135,3,0.47712125471966244,integrated,False,True,55.00842216969299,43.991999999997816
136,3,0.47712125471966244,integrated,False,True,55.32685077131006,44.279999999997784
137,3,0.47712125471966244,integrated,False,True,54.936890020452864,44.39999999999777
138,3,0.47712125471966244,integrated,False,True,53.97258634865661,43.63199999999785
139,3,0.47712125471966244,integrated,False,True,54.682544141178866,44.183999999997795
140,3,0.47712125471966244,integrated,False,True,54.95205559095801,43.991999999997816
141,3,0.47712125471966244,integrated,False,True,55.705239001889794,44.23199999999779
142,3,0.47712125471966244,integrated,False,True,54.27078802048645,43.79999999999784
143,3,0.47712125471966244,integrated,False,True,54.43592799030115,43.75199999999784
144,3,0.47712125471966244,integrated,False,True,55.61845274188641,44.183999999997795
145,3,0.47712125471966244,integrated,False,True,54.91052756163958,44.159999999997794
146,3,0.47712125471966244,extinct,True,False,,
147,3,0.47712125471966244,extinct,True,False,,
148,3,0.47712125471966244,integrated,False,True,54.69984705526718,43.84799999999783
149,3,0.47712125471966244,integrated,False,True,57.488101637074124,45.52799999999765
150,3,0.47712125471966244,integrated,False,True,55.586897903123315,44.03999999999781
151,3,0.47712125471966244,integrated,False,True,54.54079309518956,44.183999999997795
152,3,0.47712125471966244,integrated,False,True,55.27697941130875,44.30399999999778
153,3,0.47712125471966244,integrated,False,True,56.49868708117943,44.687999999997736
154,3,0.47712125471966244,integrated,False,True,55.35501014464262,44.56799999999775
155,3,0.47712125471966244,integrated,False,True,56.01838179226998,45.0479999999977
156,3,0.47712125471966244,integrated,False,True,55.347605973533064,44.25599999999778
157,3,0.47712125471966244,integrated,False,True,55.77685011396665,44.73599999999773
158,3,0.47712125471966244,integrated,False,True,55.68767246939056,44.73599999999773
159,3,0.47712125471966244,integrated,False,True,54.84278800228006,43.89599999999783
160,3,0.47712125471966244,integrated,False,True,54.24519002825157,44.01599999999781
161,3,0.47712125471966244,integrated,False,True,55.59023216229841,44.01599999999781
162,3,0.47712125471966244,extinct,True,False,,
163,3,0.47712125471966244,integrated,False,True,54.60647929580372,43.79999999999784
164,3,0.47712125471966244,extinct,True,False,,
165,3,0.47712125471966244,extinct,True,False,,
166,3,0.47712125471966244,integrated,False,True,54.93130814863256,43.89599999999783
167,3,0.47712125471966244,integrated,False,True,54.532609865859214,44.087999999997805
168,3,0.47712125471966244,integrated,False,True,54.584908546332144,43.70399999999785
169,3,0.47712125471966244,integrated,False,True,54.172378589675766,43.775999999997836
170,3,0.47712125471966244,integrated,False,True,55.27106598835448,44.375999999997774
171,3,0.47712125471966244,integrated,False,True,56.15718637615078,44.159999999997794
172,3,0.47712125471966244,integrated,False,True,55.2781232128092,44.25599999999778
173,3,0.47712125471966244,integrated,False,True,55.05061978142337,44.01599999999781
174,3,0.47712125471966244,integrated,False,True,55.68580121040792,44.183999999997795
175,3,0.47712125471966244,integrated,False,True,55.109402049495046,44.087999999997805
176,3,0.47712125471966244,integrated,False,True,55.663428970150726,44.66399999999774
177,3,0.47712125471966244,integrated,False,True,54.07580314561465,43.60799999999786
178,3,0.47712125471966244,integrated,False,True,55.08983671074201,44.1119999999978
179,3,0.47712125471966244,integrated,False,True,54.90623827691747,43.991999999997816
180,3,0.47712125471966244,integrated,False,True,54.54328116605117,43.967999999997815
181,3,0.47712125471966244,integrated,False,True,54.12975459461813,43.55999999999786
182,3,0.47712125471966244,integrated,False,True,54.81253588498992,43.89599999999783
183,3,0.47712125471966244,extinct,True,False,,
184,3,0.47712125471966244,integrated,False,True,55.567414359533856,43.84799999999783
185,3,0.47712125471966244,integrated,False,True,55.18025532257272,44.159999999997794
186,3,0.47712125471966244,extinct,True,False,,
187,3,0.47712125471966244,extinct,True,False,,
188,3,0.47712125471966244,integrated,False,True,55.4149825959597,44.39999999999777
189,3,0.47712125471966244,integrated,False,True,55.469411309787056,44.1359999999978
190,3,0.47712125471966244,integrated,False,True,56.541438828388166,44.56799999999775
191,3,0.47712125471966244,integrated,False,True,55.151167726264696,44.375999999997774
192,3,0.47712125471966244,integrated,False,True,54.44565540450057,43.91999999999782
193,3,0.47712125471966244,integrated,False,True,54.50297108269336,43.991999999997816
194,3,0.47712125471966244,integrated,False,True,55.64270669559933,44.66399999999774
195,3,0.47712125471966244,extinct,True,False,,
196,3,0.47712125471966244,extinct,True,False,,
197,3,0.47712125471966244,extinct,True,False,,
198,3,0.47712125471966244,integrated,False,True,54.30830476560901,43.84799999999783
199,3,0.47712125471966244,integrated,False,True,55.18814063500357,44.44799999999776
0,10,1.0,integrated,False,True,54.4369232368595,43.967999999997815
1,10,1.0,integrated,False,True,53.93196614307897,43.89599999999783
2,10,1.0,integrated,False,True,54.32339789913267,43.91999999999782
3,10,1.0,integrated,False,True,53.42005804180781,43.67999999999785
4,10,1.0,integrated,False,True,53.39273162107506,43.58399999999786
5,10,1.0,integrated,False,True,53.44215595408025,43.75199999999784
6,10,1.0,integrated,False,True,54.10451045879209,43.91999999999782
7,10,1.0,integrated,False,True,53.82398881366671,43.775999999997836
8,10,1.0,integrated,False,True,54.07138971464037,43.775999999997836
9,10,1.0,integrated,False,True,53.34474789577913,43.65599999999785
10,10,1.0,integrated,False,True,54.671853350819674,43.94399999999782
11,10,1.0,integrated,False,True,53.43938897241485,43.58399999999786
12,10,1.0,integrated,False,True,53.2990497250709,43.70399999999785
13,10,1.0,integrated,False,True,53.0762315236735,43.58399999999786
14,10,1.0,integrated,False,True,54.11153491857516,44.03999999999781
15,10,1.0,integrated,False,True,55.039210447898654,44.20799999999779
16,10,1.0,integrated,False,True,53.527576598319925,43.871999999997826
17,10,1.0,integrated,False,True,53.000649360344525,43.60799999999786
18,10,1.0,integrated,False,True,54.64945653067843,43.775999999997836
19,10,1.0,integrated,False,True,55.18335509710751,44.32799999999778
20,10,1.0,integrated,False,True,54.79383550615967,44.35199999999777
21,10,1.0,integrated,False,True,54.228502190800256,43.72799999999784
22,10,1.0,integrated,False,True,53.37504309696081,43.55999999999786
23,10,1.0,integrated,False,True,54.57567296634203,43.82399999999783
24,10,1.0,integrated,False,True,53.76687087634261,43.94399999999782
25,10,1.0,integrated,False,True,53.22419851997862,43.72799999999784
26,10,1.0,integrated,False,True,53.88364114645367,43.79999999999784
27,10,1.0,integrated,False,True,54.31019893711753,44.01599999999781
28,10,1.0,integrated,False,True,53.43250593060118,43.51199999999787
29,10,1.0,integrated,False,True,54.19760336522667,44.03999999999781
30,10,1.0,integrated,False,True,54.43932238808584,44.087999999997805
31,10,1.0,integrated,False,True,53.993469592252104,43.84799999999783
32,10,1.0,integrated,False,True,53.13894060514634,43.60799999999786
33,10,1.0,integrated,False,True,54.43971146293531,43.94399999999782
34,10,1.0,integrated,False,True,53.369094565707286,43.63199999999785
35,10,1.0,integrated,False,True,53.33909539251632,43.82399999999783
36,10,1.0,integrated,False,True,54.067228945659515,43.775999999997836
37,10,1.0,integrated,False,True,53.92905923909761,43.89599999999783
38,10,1.0,integrated,False,True,54.87283084611611,44.687999999997736
39,10,1.0,integrated,False,True,52.9423937412853,43.55999999999786
40,10,1.0,integrated,False,True,53.48505803364715,43.67999999999785
41,10,1.0,integrated,False,True,53.2768415190802,43.53599999999786
42,10,1.0,integrated,False,True,54.19676554533224,43.75199999999784
43,10,1.0,integrated,False,True,54.17167548682579,43.60799999999786
44,10,1.0,integrated,False,True,55.09677497057035,44.183999999997795
45,10,1.0,integrated,False,True,53.38364584320213,43.67999999999785
46,10,1.0,integrated,False,True,53.751095406872594,43.84799999999783
47,10,1.0,integrated,False,True,53.412272010711504,43.53599999999786
48,10,1.0,integrated,False,True,53.396452602572296,43.55999999999786
49,10,1.0,integrated,False,True,54.209616064083846,43.89599999999783
50,10,1.0,integrated,False,True,53.27012489229864,43.67999999999785
51,10,1.0,integrated,False,True,53.59673517657391,43.72799999999784
52,10,1.0,integrated,False,True,52.99602878323963,43.60799999999786
53,10,1.0,integrated,False,True,53.85636137317674,43.70399999999785
54,10,1.0,integrated,False,True,53.6294962302954,43.84799999999783
55,10,1.0,integrated,False,True,53.543678347760604,43.70399999999785
56,10,1.0,integrated,False,True,53.71531050242555,43.871999999997826
57,10,1.0,integrated,False,True,53.86953161900117,43.94399999999782
58,10,1.0,integrated,False,True,53.803613350466186,43.871999999997826
59,10,1.0,integrated,False,True,54.60817262669954,43.991999999997816
60,10,1.0,integrated,False,True,53.6154283419355,43.967999999997815
61,10,1.0,integrated,False,True,53.483691281454995,43.70399999999785
