time_h,E_PEP_V0_1,P_int_V0_1,E_PEP_V0_3,P_int_V0_3,E_PEP_V0_10,P_int_V0_10,E_PEP_V0_30,P_int_V0_30,E_PEP_V0_100,P_int_V0_100,E_PEP_V0_300,P_int_V0_300,E_PEP_V0_1000,P_int_V0_1000,E_PEP_V0_3000,P_int_V0_3000,E_PEP_V0_10000,P_int_V0_10000
43.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
43.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
44.0,0.95,0.0,0.95,0.0,0.9271739130434782,0.0,0.5468999999999999,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
44.5,0.9326315789473684,0.0,0.8759584664536741,0.0,0.6881987577639752,0.0,0.4056,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
45.0,0.7573684210526316,0.0,0.6818690095846645,0.0,0.540527950310559,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
45.5,0.62,0.0,0.5639776357827476,0.0,0.510248447204969,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
46.0,0.5536842105263158,0.0,0.5230031948881789,0.0,0.5032608695652174,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
46.5,0.5268421052631579,0.0,0.5129392971246006,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
47.0,0.5173684210526316,0.0,0.5086261980830671,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
47.5,0.5157894736842106,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
48.0,0.5142105263157895,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
48.5,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
49.0,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
49.5,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50.0,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50.5,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
51.0,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
51.5,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
52.0,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
52.5,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
53.0,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.402,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
53.5,0.5126315789473684,0.0,0.5071884984025559,0.0,0.5023291925465838,0.0,0.3385,0.323,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
54.0,0.5126315789473684,0.0,0.5071884984025559,0.0,0.49353002070393376,0.017598343685300208,0.14150000000000001,0.717,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
54.5,0.5126315789473684,0.0,0.5063897763578274,0.001597444089456869,0.4309006211180125,0.14285714285714285,0.04099999999999998,0.918,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
55.0,0.5126315789473684,0.0,0.4880191693290735,0.038338658146964855,0.2839026915113872,0.43685300207039335,0.010000000000000009,0.98,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
55.5,0.5056140350877193,0.014035087719298246,0.41054313099041534,0.19329073482428116,0.1539855072463768,0.6966873706004141,0.0015000000000000013,0.997,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
56.0,0.39859649122807017,0.22807017543859648,0.28674121405750796,0.44089456869009586,0.07013457556935818,0.8643892339544513,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
56.5,0.2319298245614035,0.5614035087719298,0.15175718849840256,0.7108626198083067,0.03131469979296068,0.9420289855072463,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
